|sourceId| |articleId| |author| |title| |description| |url| |urlToImage| |publishedAt|
|bleacher-report| |24| |Mike Chiari| |Luka Doncic Reportedly to Enter 2018 NBA Draft| |Potential No. 1 overall pick Luka Doncic has reportedly filed paperwork to be eligible for the 2018 NBA draft, according to Shams Charania of Yahoo Sports...| |http://bleacherreport.com/articles/2771754-luka-doncic-reportedly-to-enter-2018-nba-draft| |https://img.bleacherreport.net/img/images/photos/003/737/165/hi-res-2227e8004f42ed97290365da1d94c1bd_crop_exact.jpg?w=1200&h=1200&q=75| |2018-04-21T15:58:31Z|
|bleacher-report| |25| |Dave Schilling| |Traveling in the NBA: The Price of Making Art| |Let me just get this out of the way now: James Harden traveled. He probably traveled more than once in Game 1 of the Rockets' first-round playoff series against the Timberwolves ...| |http://bleacherreport.com/articles/2771640-traveling-in-the-nba-the-price-of-making-art| |https://img.bleacherreport.net/img/images/photos/003/737/032/e8a001e4699086d0d46b686cf3bb55c9_crop_exact.jpg?w=1200&h=1200&q=75| |2018-04-21T12:31:14Z|
|bleacher-report| |26| |NOVALUE| |B/R x 4/20| |The world’s best athletes smoke weed. Watch them smoke with B/R and share their stories on 4/20 #BRx420| |http://420.bleacherreport.com/| |http://thelab.bleacherreport.com.s3.amazonaws.com/420-preview/images/share-image.jpg| |2018-04-20T15:08:06.4348057Z|
|bleacher-report| |27| |Master Tesfatsion| |The World's Best Athletes Smoke Weed. Here's Proof. What Now?| |NBA and NFL veterans blazed with B/R to prove that times are changing. Real talk: It's time to break the stigma. The conversation starts here. Pass it on.| |http://bleacherreport.com/articles/2771410-athletes-smoke-weed-interviews-nba-nfl-420| |https://img.bleacherreport.net/img/images/photos/003/736/740/1e046786220416ba330287e046b4a6b7_crop_exact.jpg?w=1200&h=1200&q=75| |2018-04-20T14:52:43Z|
|bleacher-report| |28| |Matt Miller| |Matt Miller's Scouting Notebook: When, Where Will Top QBs Land in NFL Draft?| |The biggest question among every person who follows the NFL draft or works in the industry right now is "Where will the quarterbacks go?" I actually woke up to that text from a high-level executive on Thursday morning...| |http://bleacherreport.com/articles/2771388-matt-millers-scouting-notebook-when-where-will-top-qbs-land-in-nfl-draft| |https://img.bleacherreport.net/img/images/photos/003/736/744/hi-res-95261b671e0fcb79b24316f181a6d922_crop_exact.jpg?w=1200&h=1200&q=75| |2018-04-20T11:21:49Z|
|bleacher-report| |29| |Mike Tanier| |Dallas Goedert Leaps from Small-Town Hero to the Top of the Tight End Class| |Dallas Goedert 's home town of Britton, South Dakota, is so small that the football teams only have nine players and the bicycles only have one wheel...| |http://bleacherreport.com/articles/2765969-dallas-goedert-leaps-from-small-town-hero-to-the-top-of-the-tight-end-class?utm_source=cnn.com&amp;utm_campaign=editorial&amp;utm_medium=referral| |https://img.bleacherreport.net/img/images/photos/003/735/574/hi-res-7d25db8e3fb9d4b7add3915740d200de_crop_exact.jpg?w=1200&h=1200&q=75| |2018-04-20T11:20:18Z|
|bloomberg| |30| |Bob Van Voris| |Stormy Daniels's Former Lawyer Cooperating in Cohen Probe| |The former attorney for two women who claim they were paid to keep quiet about having sex with Donald Trump before he was elected president is cooperating with a criminal investigation of Trump’s lawyer and fixer, Michael Cohen.| |http://www.bloomberg.com/news/articles/2018-04-21/stormy-daniels-s-former-lawyer-cooperating-in-cohen-probe| |https://assets.bwbx.io/images/users/iqjWHBFdfxIU/ileT3l_a96GM/v0/1200x800.jpg| |2018-04-21T15:05:55Z|
|bloomberg| |31| |Benjamin D Katz| |PokerStars Owner to Buy U.K.'s Sky Betting in $4.7 Billion Deal| |The Stars Group Inc. agreed to buy Sky Betting & Gaming in a deal valued at $4.7 billion, the biggest acquisition yet by Chief Executive Officer Rafi Ashkenazi as the owner of PokerStars moves to create what will be the biggest publicly listed online gambling…| |http://www.bloomberg.com/news/articles/2018-04-21/pokerstars-owner-to-buy-u-k-s-sky-betting-in-4-7-billion-deal| |https://assets.bwbx.io/images/users/iqjWHBFdfxIU/i9e8rzxqD5Ik/v0/1200x801.jpg| |2018-04-21T13:34:56Z|
|bloomberg| |32| |Kanga Kong, Shinhye Kang| |Trump Hails `Big Progress’ as Kim Vows to Extend Freeze on Tests| |U.S. President Donald Trump hailed “big progress” as North Korean leader Kim Jong Un pledged to halt nuclear testing, a largely symbolic gesture that appeared aimed at softening the ground for talks between the two leaders.| |http://www.bloomberg.com/news/articles/2018-04-21/trump-hails-big-progress-as-kim-vows-to-extend-freeze-on-tests| |https://assets.bwbx.io/images/users/iqjWHBFdfxIU/iz.H4.inoAZs/v0/1200x800.jpg| |2018-04-21T10:57:59Z|
|bloomberg| |33| |David Biller| |South America Stands to Benefit From a Trade War It Doesn't Want| |Some South American commodity producers may see their fortunes rise from the trade spat between the U.S. and China. But none are rejoicing, at least not publicly.| |http://www.bloomberg.com/news/articles/2018-04-21/south-america-stands-to-benefit-from-a-trade-war-it-doesn-t-want| |https://assets.bwbx.io/s3/javelin/public/javelin/images/social-markets-3d32d2f713.jpg| |2018-04-21T10:00:00Z|
|bloomberg| |34| |Guy Collins| |Lafleur '82 Magnums Fetch More Than $12,000 Each at Sotheby's| |Six magnums of rare Chateau Lafleur 1982 wine from the Pomerol region fetched 54,970 pounds ($77,095), or more than $12,000 each, as a selection of historic Bordeaux vintages dating as far back as 1909 went under the hammer at a Sotheby’s auction in London th…| |http://www.bloomberg.com/news/articles/2018-04-21/lafleur-82-magnums-fetch-more-than-12-000-each-at-sotheby-s| |https://assets.bwbx.io/images/users/iqjWHBFdfxIU/ifHg8MVQu.pg/v0/1200x800.jpg| |2018-04-21T09:22:02Z|
